"name","mean","sd","min"
"temperature",36.9263505734476,0.603291876203159,20.8
"glucose",192.117940068322,5925.56371143613,0.12
"sbp",120.248693065603,21.7691429756413,0.1
"dbp",63.2919147675213,14.9220779584569,1
"mbp",79.2054298892019,15.6578573358071,0.2556
"resp_rate",20.0862163662637,5.75830853786851,1
"spo2",96.735550679545,3.24864332296362,0.01
"so2",92.5689485764666,8.55324295571519,0.8
"po2",105.560608887839,53.112231144861,-32
"pco2",42.065023749049,9.46678648950565,0
"fio2_chartevents",32.2176149714398,17.9034653745665,20
"aado2",484.169848578859,42.7909075488261,0.12
"aado2_calc",192.25309796297,100.563022439115,-462.4
"pao2fio2ratio",233.109013949275,101.553822960564,5.71428571428571
"ph",7.40011111992495,0.0632845304424465,6.46
"baseexcess",0.730509072387339,4.80570784386506,-414
"bicarbonate",23.4218874808661,1.17170210580951,2
"totalco2",26.6883537930518,5.47404091873124,0
"hematocrit",30.1382675546224,3.30929945507045,0
"hemoglobin",10.0617359188031,1.82873005385489,0
"carboxyhemoglobin",1.79186117555543,0.153443700815061,0
"methemoglobin",0.131872530776384,0.191965176778739,0
"chloride",104.814840223076,3.68940964527393,3.4
"calcium",4.09101995148906,3.81609940562956,0.21
"potassium",4.00439043548462,0.560272013309126,0.7
"lactate",1.58498800479364,1.11274489826039,0
"gcs",14.3977782077934,1.68242690764394,3
"uo",77.5318368101876,133.821604583457,0
"dopamine",0.05062859322516,1.36704557716105,0
"epinephrine",0.000801123039441673,0.0196648930643099,0
"norepinephrine",0.0138182889684208,0.0625468419296017,0
"phenylephrine",0.0668167838346716,0.484641323048963,0
"vasopressin",0.0847064225061548,0.521578803885815,0
"dobutamine",0.0419129630638001,0.502807770530858,0
"vent___1",0,1,0
"vent___2",0,1,0
"vent___3",0,1,0
"vent___4",0,1,0
"vent___5",0,1,0
"vent___6",0,1,0
"mch",29.9444403065984,2.48393094469661,15.2
"mchc",32.7159531331577,1.65917709060395,22
"mcv",91.6244321039564,6.84603010741121,53
"platelet",218.146126921361,130.562435735859,5
"rbc",3.314594647212,0.661194132820501,0.45
"rdw",15.811553855051,2.65281292722769,10.6
"wbc",11.916777343242,8.30630784046811,0.1
"sodium",139.111174742901,5.12829628232712,67
"albumin",3.37387336113521,0.722197377817434,0.2
"globulin",2.6470868274323,0.130415367037429,0.4
"total_protein",6.33794556975315,0.351609942713822,1.7
"aniongap",13.8989087421398,3.77212571931422,-23
"bun",29.9921619535138,24.4065976718729,1
"creatinine",1.45548698128015,1.45365484818821,0.1
"dt",0.0418162555703952,0.0102584374591,0
